ate,open,high,low,close,volume,barCount,average
2022-01-31 16:20:00,21.55,21.565,21.515,21.52,-1,-1,-1.0
2022-01-31 16:21:00,21.52,21.52,21.455,21.495,-1,-1,-1.0
2022-01-31 16:22:00,21.495,21.535,21.495,21.525,-1,-1,-1.0
2022-01-31 16:23:00,21.525,21.54,21.485,21.525,-1,-1,-1.0
2022-01-31 16:24:00,21.525,21.535,21.475,21.475,-1,-1,-1.0
2022-01-31 16:25:00,21.475,21.62,21.475,21.615,-1,-1,-1.0
2022-01-31 16:26:00,21.615,21.615,21.465,21.515,-1,-1,-1.0
2022-01-31 16:27:00,21.515,21.575,21.51,21.57,-1,-1,-1.0
2022-01-31 16:28:00,21.57,21.675,21.565,21.585,-1,-1,-1.0
2022-01-31 16:29:00,21.585,21.815,21.585,21.76,-1,-1,-1.0
2022-01-31 16:30:00,21.76,21.93,21.695,21.905,-1,-1,-1.0
2022-01-31 16:31:00,21.905,22.135,21.825,21.845,-1,-1,-1.0
2022-01-31 16:32:00,21.845,21.885,21.605,21.835,-1,-1,-1.0
2022-01-31 16:33:00,21.835,22.115,21.835,22.06,-1,-1,-1.0
2022-01-31 16:34:00,22.06,22.185,22.025,22.13,-1,-1,-1.0
2022-01-31 16:35:00,22.13,22.175,21.975,22.11,-1,-1,-1.0
2022-01-31 16:36:00,22.11,22.115,21.935,21.945,-1,-1,-1.0
2022-01-31 16:37:00,21.945,22.14,21.825,21.865,-1,-1,-1.0
2022-01-31 16:38:00,21.865,21.97,21.81,21.86,-1,-1,-1.0
2022-01-31 16:39:00,21.86,22.115,21.86,22.11,-1,-1,-1.0
2022-01-31 16:40:00,22.11,22.245,22.095,22.195,-1,-1,-1.0
2022-01-31 16:41:00,22.195,22.305,22.165,22.285,-1,-1,-1.0
2022-01-31 16:42:00,22.285,22.35,22.215,22.225,-1,-1,-1.0
2022-01-31 16:43:00,22.225,22.285,22.165,22.175,-1,-1,-1.0
2022-01-31 16:44:00,22.175,22.355,22.155,22.245,-1,-1,-1.0
2022-01-31 16:45:00,22.245,22.54,22.215,22.495,-1,-1,-1.0
2022-01-31 16:46:00,22.495,22.625,22.445,22.595,-1,-1,-1.0
2022-01-31 16:47:00,22.595,22.665,22.515,22.575,-1,-1,-1.0
2022-01-31 16:48:00,22.575,22.585,22.465,22.505,-1,-1,-1.0
2022-01-31 16:49:00,22.505,22.515,22.415,22.43,-1,-1,-1.0
2022-01-31 16:50:00,22.43,22.495,22.405,22.415,-1,-1,-1.0
2022-01-31 16:51:00,22.415,22.555,22.355,22.555,-1,-1,-1.0
2022-01-31 16:52:00,22.555,22.735,22.545,22.705,-1,-1,-1.0
2022-01-31 16:53:00,22.705,22.775,22.695,22.715,-1,-1,-1.0
2022-01-31 16:54:00,22.715,22.775,22.685,22.755,-1,-1,-1.0
2022-01-31 16:55:00,22.755,22.845,22.705,22.815,-1,-1,-1.0
2022-01-31 16:56:00,22.815,22.975,22.815,22.945,-1,-1,-1.0
2022-01-31 16:57:00,22.945,22.965,22.875,22.955,-1,-1,-1.0
