date,open,high,low,close,volume,barCount,average
2022-01-29 01:05:00,849.665,849.665,849.65,849.65,-1,-1,-1.0
2022-01-29 01:06:00,849.65,849.655,849.625,849.655,-1,-1,-1.0
2022-01-29 01:07:00,849.655,849.815,849.655,849.815,-1,-1,-1.0
2022-01-29 01:08:00,849.815,850.1,849.79,850.1,-1,-1,-1.0
2022-01-29 01:09:00,850.1,850.1,849.89,850.09,-1,-1,-1.0
2022-01-29 01:10:00,850.09,850.125,850.045,850.12,-1,-1,-1.0
2022-01-29 01:11:00,850.12,850.32,850.12,850.32,-1,-1,-1.0
2022-01-29 01:12:00,850.32,850.625,850.31,850.625,-1,-1,-1.0
2022-01-29 01:13:00,850.625,850.805,850.595,850.8,-1,-1,-1.0
2022-01-29 01:14:00,850.8,851.25,850.8,851.25,-1,-1,-1.0
2022-01-29 01:15:00,851.25,851.54,850.8,850.8,-1,-1,-1.0
2022-01-29 01:16:00,850.8,850.8,850.59,850.59,-1,-1,-1.0
2022-01-29 01:17:00,850.59,850.615,850.425,850.425,-1,-1,-1.0
2022-01-29 01:18:00,850.425,850.45,850.42,850.425,-1,-1,-1.0
2022-01-29 01:19:00,850.425,850.67,850.205,850.205,-1,-1,-1.0
2022-01-29 01:20:00,850.205,850.52,850.205,850.42,-1,-1,-1.0
2022-01-29 01:21:00,850.42,850.43,850.42,850.43,-1,-1,-1.0
2022-01-29 01:22:00,850.43,850.77,850.43,850.77,-1,-1,-1.0
2022-01-29 01:23:00,850.77,851.255,850.575,851.25,-1,-1,-1.0
2022-01-29 01:24:00,851.25,851.385,851.05,851.385,-1,-1,-1.0
2022-01-29 01:25:00,851.385,851.445,851.385,851.445,-1,-1,-1.0
2022-01-29 01:26:00,851.445,851.465,851.4,851.465,-1,-1,-1.0
2022-01-29 01:27:00,851.465,851.51,851.46,851.505,-1,-1,-1.0
2022-01-29 01:28:00,851.505,851.57,851.505,851.57,-1,-1,-1.0
2022-01-29 01:29:00,851.57,851.7,851.56,851.7,-1,-1,-1.0
2022-01-29 01:30:00,851.7,851.875,851.515,851.655,-1,-1,-1.0
2022-01-29 01:31:00,851.655,851.69,851.28,851.385,-1,-1,-1.0
2022-01-29 01:32:00,851.385,851.385,851.25,851.25,-1,-1,-1.0
2022-01-29 01:33:00,851.25,851.25,851.045,851.045,-1,-1,-1.0
2022-01-29 01:34:00,851.045,851.17,850.845,851.125,-1,-1,-1.0
2022-01-29 01:35:00,851.125,851.125,851.125,851.125,-1,-1,-1.0
2022-01-29 01:36:00,851.125,851.125,851.1,851.125,-1,-1,-1.0
2022-01-29 01:37:00,851.125,851.245,851.1,851.24,-1,-1,-1.0
2022-01-29 01:38:00,851.24,851.365,851.23,851.365,-1,-1,-1.0
2022-01-29 01:39:00,851.365,851.365,851.25,851.25,-1,-1,-1.0
2022-01-29 01:40:00,851.25,851.255,851.18,851.25,-1,-1,-1.0
2022-01-29 01:41:00,851.25,851.25,851.04,851.2,-1,-1,-1.0
2022-01-29 01:42:00,851.2,851.2,851.175,851.175,-1,-1,-1.0
2022-01-29 01:43:00,851.175,851.175,850.915,850.92,-1,-1,-1.0
2022-01-29 01:44:00,850.92,850.92,850.87,850.87,-1,-1,-1.0
2022-01-29 01:45:00,850.87,850.87,850.445,850.445,-1,-1,-1.0
2022-01-29 01:46:00,850.445,850.53,850.445,850.53,-1,-1,-1.0
2022-01-29 01:47:00,850.53,850.53,850.525,850.525,-1,-1,-1.0
2022-01-29 01:48:00,850.525,850.53,850.305,850.305,-1,-1,-1.0
2022-01-29 01:49:00,850.305,850.305,850.25,850.25,-1,-1,-1.0
2022-01-29 01:50:00,850.25,850.38,850.25,850.3,-1,-1,-1.0
2022-01-29 01:51:00,850.3,850.3,849.75,849.75,-1,-1,-1.0
2022-01-29 01:52:00,849.75,849.925,849.745,849.75,-1,-1,-1.0
2022-01-29 01:53:00,849.75,850.0,849.75,849.99,-1,-1,-1.0
2022-01-29 01:54:00,849.99,850.0,848.75,848.75,-1,-1,-1.0
2022-01-29 01:55:00,848.75,848.75,848.265,848.265,-1,-1,-1.0
2022-01-29 01:56:00,848.265,848.265,847.495,847.55,-1,-1,-1.0
2022-01-29 01:57:00,847.55,847.555,847.315,847.48,-1,-1,-1.0
2022-01-29 01:58:00,847.48,847.575,847.375,847.575,-1,-1,-1.0
2022-01-29 01:59:00,847.575,847.725,847.575,847.725,-1,-1,-1.0
2022-01-29 02:00:00,847.725,847.85,847.625,847.85,-1,-1,-1.0
2022-01-29 02:01:00,847.85,848.755,847.85,848.555,-1,-1,-1.0
2022-01-29 02:02:00,848.555,849.35,848.505,849.195,-1,-1,-1.0
2022-01-29 02:03:00,849.195,849.325,849.195,849.29,-1,-1,-1.0
2022-01-29 02:04:00,849.29,849.355,849.24,849.25,-1,-1,-1.0
2022-01-29 02:05:00,849.25,849.315,849.25,849.3,-1,-1,-1.0
2022-01-29 02:06:00,849.3,849.56,848.45,848.45,-1,-1,-1.0
2022-01-29 02:07:00,848.45,848.555,848.45,848.55,-1,-1,-1.0
2022-01-29 02:08:00,848.55,849.425,848.53,849.425,-1,-1,-1.0
2022-01-29 02:09:00,849.425,849.475,849.35,849.475,-1,-1,-1.0
2022-01-29 02:10:00,849.475,849.475,849.13,849.475,-1,-1,-1.0
2022-01-29 02:11:00,849.475,849.475,849.475,849.475,-1,-1,-1.0
2022-01-29 02:12:00,849.475,849.475,849.475,849.475,-1,-1,-1.0
2022-01-29 02:13:00,849.475,849.725,849.475,849.725,-1,-1,-1.0
2022-01-29 02:14:00,849.725,849.725,849.72,849.72,-1,-1,-1.0
2022-01-29 02:15:00,849.72,849.725,849.72,849.725,-1,-1,-1.0
2022-01-29 02:16:00,849.725,849.725,849.72,849.72,-1,-1,-1.0
2022-01-29 02:17:00,849.72,849.72,848.855,848.93,-1,-1,-1.0
2022-01-29 02:18:00,848.93,849.25,848.75,848.75,-1,-1,-1.0
2022-01-29 02:19:00,848.75,849.15,848.6,848.6,-1,-1,-1.0
2022-01-29 02:20:00,848.6,849.195,848.595,848.7,-1,-1,-1.0
2022-01-29 02:21:00,848.7,848.9,848.7,848.875,-1,-1,-1.0
2022-01-29 02:22:00,848.875,848.925,848.875,848.875,-1,-1,-1.0
2022-01-29 02:23:00,848.875,848.875,848.725,848.75,-1,-1,-1.0
2022-01-29 02:24:00,848.75,848.9,848.75,848.855,-1,-1,-1.0
2022-01-29 02:25:00,848.855,849.155,848.855,849.155,-1,-1,-1.0
2022-01-29 02:26:00,849.155,849.155,849.15,849.155,-1,-1,-1.0
2022-01-29 02:27:00,849.155,849.255,849.15,849.155,-1,-1,-1.0
2022-01-29 02:28:00,849.155,849.265,849.155,849.265,-1,-1,-1.0
2022-01-29 02:29:00,849.265,849.705,849.265,849.6,-1,-1,-1.0
2022-01-29 02:30:00,849.6,849.6,849.47,849.54,-1,-1,-1.0
2022-01-29 02:31:00,849.54,849.895,849.25,849.25,-1,-1,-1.0
2022-01-29 02:32:00,849.25,849.25,849.05,849.25,-1,-1,-1.0
2022-01-29 02:33:00,849.25,849.705,849.245,849.705,-1,-1,-1.0
2022-01-29 02:34:00,849.705,849.705,848.87,848.87,-1,-1,-1.0
2022-01-29 02:35:00,848.87,849.25,848.615,849.25,-1,-1,-1.0
2022-01-29 02:36:00,849.25,849.445,849.05,849.445,-1,-1,-1.0
2022-01-29 02:37:00,849.445,849.45,849.315,849.44,-1,-1,-1.0
2022-01-29 02:38:00,849.44,849.52,849.26,849.26,-1,-1,-1.0
2022-01-29 02:39:00,849.26,849.26,849.26,849.26,-1,-1,-1.0
2022-01-29 02:40:00,849.26,849.26,849.255,849.26,-1,-1,-1.0
2022-01-29 02:41:00,849.26,849.285,849.26,849.285,-1,-1,-1.0
2022-01-29 02:42:00,849.285,849.35,849.285,849.35,-1,-1,-1.0
2022-01-29 02:43:00,849.35,849.555,849.35,849.505,-1,-1,-1.0
2022-01-29 02:44:00,849.505,849.52,849.425,849.425,-1,-1,-1.0
