
ticker=NIO, epochs=17, units=38, prediction_days=48, dense_units=0.2,     ratio=[0.7614373]
ticker=RIOT, epochs=20, units=28, prediction_days=69, dense_units=0.2,     ratio=[0.80547076]
ticker=NIO, epochs=12, units=37, prediction_days=17, dense_units=0.2,     ratio=[0.82253945]
ticker=RIOT, epochs=13, units=56, prediction_days=35, dense_units=0.2,     ratio=[0.882161]
ticker=RIOT, epochs=30, units=48, prediction_days=55, dense_units=0.2,     ratio=[0.83073866]
ticker=RIOT, epochs=30, units=47, prediction_days=19, dense_units=0.2,     ratio=[0.9119001]
ticker=NIO, epochs=26, units=47, prediction_days=16, dense_units=0.2,     ratio=[0.92094177]
ticker=NIO, epochs=11, units=36, prediction_days=67, dense_units=0.2,     ratio=[0.79989135]
ticker=NIO, epochs=17, units=60, prediction_days=66, dense_units=0.2,     ratio=[0.77226603]
ticker=NIO, epochs=30, units=33, prediction_days=36, dense_units=0.2,     ratio=[0.8755487]
ticker=RIOT, epochs=23, units=49, prediction_days=64, dense_units=0.2,     ratio=[0.83147407]
ticker=RIOT, epochs=12, units=26, prediction_days=16, dense_units=0.2,     ratio=[0.86756617]
ticker=NIO, epochs=16, units=26, prediction_days=42, dense_units=0.2,     ratio=[0.79124385]
ticker=RIOT, epochs=11, units=30, prediction_days=12, dense_units=0.2,     ratio=[0.873154]
ticker=RIOT, epochs=22, units=43, prediction_days=30, dense_units=0.2,     ratio=[0.88350815]
ticker=RIOT, epochs=26, units=21, prediction_days=25, dense_units=0.2,     ratio=[0.82396615]
ticker=RIOT, epochs=30, units=58, prediction_days=66, dense_units=0.2,     ratio=[0.73416305]
ticker=NIO, epochs=29, units=40, prediction_days=67, dense_units=0.2,     ratio=[0.79594827]
ticker=NIO, epochs=24, units=42, prediction_days=62, dense_units=0.2,     ratio=[0.80178404]
ticker=RIOT, epochs=29, units=45, prediction_days=58, dense_units=0.2,     ratio=[0.80316204]
ticker=RIOT, epochs=13, units=46, prediction_days=20, dense_units=0.2,     ratio=[0.92918813]
ticker=RIOT, epochs=10, units=20, prediction_days=20, dense_units=0.2,     ratio=[0.6977569]
ticker=RIOT, epochs=26, units=42, prediction_days=52, dense_units=0.2,     ratio=[0.7939653]
ticker=NIO, epochs=17, units=29, prediction_days=8, dense_units=0.2,     ratio=[0.89810634]
ticker=RIOT, epochs=16, units=35, prediction_days=31, dense_units=0.2,     ratio=[0.7942497]
ticker=NIO, epochs=21, units=33, prediction_days=31, dense_units=0.2,     ratio=[0.787751]
ticker=NIO, epochs=27, units=44, prediction_days=60, dense_units=0.2,     ratio=[0.809787]
ticker=RIOT, epochs=11, units=59, prediction_days=67, dense_units=0.2,     ratio=[0.825217]
ticker=NIO, epochs=22, units=32, prediction_days=9, dense_units=0.2,     ratio=[0.81065077]
ticker=RIOT, epochs=30, units=39, prediction_days=9, dense_units=0.2,     ratio=[0.69863725]
ticker=RIOT, epochs=22, units=21, prediction_days=65, dense_units=0.2,     ratio=[0.79142624]
ticker=NIO, epochs=14, units=43, prediction_days=24, dense_units=0.2,     ratio=[0.88184994]
ticker=NIO, epochs=28, units=39, prediction_days=10, dense_units=0.2,     ratio=[0.85532314]
ticker=NIO, epochs=16, units=57, prediction_days=48, dense_units=0.2,     ratio=[0.81158394]
ticker=NIO, epochs=20, units=45, prediction_days=56, dense_units=0.2,     ratio=[0.7497572]
ticker=RIOT, epochs=15, units=27, prediction_days=31, dense_units=0.2,     ratio=[0.86433893]
ticker=RIOT, epochs=30, units=22, prediction_days=67, dense_units=0.2,     ratio=[0.75085217]
ticker=NIO, epochs=30, units=27, prediction_days=18, dense_units=0.2,     ratio=[0.8514109]
ticker=NIO, epochs=25, units=25, prediction_days=35, dense_units=0.2,     ratio=[0.86921066]
ticker=NIO, epochs=21, units=51, prediction_days=39, dense_units=0.2,     ratio=[0.8436011]
ticker=RIOT, epochs=15, units=40, prediction_days=56, dense_units=0.2,     ratio=[0.84379834]
ticker=NIO, epochs=19, units=50, prediction_days=64, dense_units=0.2,     ratio=[0.787031]
ticker=RIOT, epochs=11, units=28, prediction_days=16, dense_units=0.2,     ratio=[0.78619426]
ticker=RIOT, epochs=16, units=22, prediction_days=29, dense_units=0.2,     ratio=[0.8705519]
ticker=RIOT, epochs=10, units=24, prediction_days=7, dense_units=0.2,     ratio=[0.70320976]
ticker=NIO, epochs=23, units=51, prediction_days=29, dense_units=0.2,     ratio=[0.8246298]
ticker=RIOT, epochs=29, units=22, prediction_days=18, dense_units=0.2,     ratio=[0.9139832]
ticker=RIOT, epochs=18, units=24, prediction_days=23, dense_units=0.2,     ratio=[0.7548329]
ticker=RIOT, epochs=26, units=37, prediction_days=22, dense_units=0.2,     ratio=[0.8666257]
ticker=NIO, epochs=28, units=44, prediction_days=19, dense_units=0.2,     ratio=[0.88592637]
ticker=RIOT, epochs=26, units=22, prediction_days=35, dense_units=0.2,     ratio=[0.8781523]
ticker=RIOT, epochs=13, units=38, prediction_days=53, dense_units=0.2,     ratio=[0.7624863]
ticker=RIOT, epochs=24, units=25, prediction_days=44, dense_units=0.2,     ratio=[0.7754257]
ticker=NIO, epochs=15, units=60, prediction_days=23, dense_units=0.2,     ratio=[0.869079]
ticker=NIO, epochs=25, units=52, prediction_days=43, dense_units=0.2,     ratio=[0.8495553]
ticker=NIO, epochs=30, units=27, prediction_days=27, dense_units=0.2,     ratio=[0.82402074]
ticker=RIOT, epochs=23, units=30, prediction_days=53, dense_units=0.2,     ratio=[0.844115]
